Text,Label
mere muskurahat peche chhupi mahromi prda kholta ja tha,mild
anjane log apne kahn dhond payein jagey soye nahin aesi meri bechaeny,mild
apne as pas dekhta hon hr ghr hr ladka ladki higher education hasil rahe yaqenan hisa hamri qaum jise talem dilchaspi nahi lekin sri qaum ye hal nahi han trbiat traf zyada tawajo zrurat hahy,mild
bhahi rahisi nahi naumidi is jayada ummid sakte is to modi bap ni krega,mild
aj khana khate hue lagta jahise khoya ho,mild
yaha tension nend nahi a aur bande dm mahinn nice dp rahe,mild
m posting from my sofa with full time susti kahli what about,mild
hr subah chandni lekin jaldi utha nahi andheron mahinn chhupa ek alag sa dunia,mild
time apna bs kami h hosle hosla buland dilli dur nhy,mild
behis qoum hum,mild
aj mujhe bahut susti mehsos rahi kuch krne bilkul mod nahy,mild
ye hahi is sawan bechayni keon badhne lagy,mild
lekin mehromi ksy dor o,mild
fakedhoka naumidimerominafrtsb to mery asasins,mild
meri jannat meri chahat tu meri bechayni tu meri rahat tu hi manzil meri ashiqui mahinn teri jayegi jan meri dil china town mahinn de de dil china town mahinn kasam mery,mild
mujhe thek nahi pata bhahi lekin ane wale mahino mahinn mujhe bohot mushkil fahisle lene honge,mild
shadi fahisle lene mahinn mushkil hoti keunki families bech mahinn compatibility isue,mild
yaha tension nend nahi a aur bande dm mahinn nice dp rahe,mild
tawajuh nahi pa hon personal problems wajah,mild
magr dhrti bechaeni bas badal samajhta,mild
shaded thakawat mrnay lgi hon wbu twetlikebasanty,mild
ne use pocha lekin traf tawajo nahi mily,mild
mayosion saya meri zindagi hahi hr kadam thokr khata hon,mild
apni bechaeni hawa mey ura deta or log kehtey hahi mey sigrate boht peta,mild
bachon sath khelne mahinn usko dilchaspi kami ab zyada waqt phone mahinn bitata,mild
roh udas nahin mahin has has thak hon,mild
ankho mahinn bezri jab usne apne sapnon tutna dekha,mild
is time ahise tts mat kro bhahi jab sachme bholne koshish rahe hum sab,mild
mere muskurahat peche chhupi mahromi prda kholta ja tha,mild
sohr tu udas waja phuch leta,mild
pata nahi rannj ya bechayni bhe musalsal,mild
umr bhri bechahi mei janmon ram mohabbat,mild
itna tension saha nahi mere aur place itna nahi bahitha kabhy,mild
jist ate biscuits last hours because susty,mild
pata nahi rannj ya bechayni bhe musalsal,mild
mere chre itne udas keu bhahi abhi ti depawali patako awaz rahehahy,mild
aj naumedi si rhy,mild
gunah hamri roh zakham laga deta aur hume samajh nahi ata bechahi chez hahy,mild
chup krao use mujhe bechahi rhi kaho use,mild
exercise krne bajaye susti mahinn tv dekhta hon,mild
education system reform krne mahinn mushkil keun multiple stakeholders bech mahinn conflicting opinions,mild
mahromi meri roh sukon chen lia,mild
mehromyat ehsas waqt hahy,mild
ankhon mahinn ansu chhupay betha hon lekin dil ronay rok nahi sakta,mild
mayusi pasti gir kesy utha ha,mild
kia raha bhahi tension rhi ab,mild
dunia sab bri mehromyat,mild
uske twets dekhne bhi mehrom q kee us mujhe block dia hahy,mild
meri wazan kam hone waja mahinn din ba din zehni mriz hoti ja hu,mild
keon naumedi brh hahi mayosi phel hahy,mild
jab tk toxic twets krlu bechaeni hoti rehti hae,mild
meri roh behis gayi khushian dor gayy,mild
hr social gathering mahinn zyada khanay adat mujhe awkwrd mehsos krne majbor kia,mild
bechahi dil kahise ram don,mild
zyada khanay adat meri physical fitnes bhi nuksan pahunchaya,mild
bechaeni si chayi huvi kea ghamezulm ki mere hath pathna shuru hogaye,mild
hr dawat mahinn zyada khanay adat mera weight badha dia,mild
rone purani bimri mujhe,mild
din udas din koch nahi wali feling khushi wale din bc mjhe mele nahy,mild
phr isko dekhny mehrom,mild
beqrri hr chez rangin hone rok dia,mild
mohabbat talash mahinn hr kadam thokr kha hon zindagi mayos hokr,mild
timepas nahi raha udas hahy,mild
zyada khanay adat waja wazan bhr hahi mera,mild
beqrr dil mahinn ek bechahi jahise khwab adhora reh ho,mild
jis eizat usi ny mujhe mayos kia,mild
umed naumedi tauquat hamesha mayausi hasil hoty,mild
aj dil dukha tum yad aye anjanay log apnay kahan dhond payein jagey soye nahi ahisi meri bechayny,mild
kahise unhe samjhaye unki auda meri nigahon badi mayosiat si hoti jab humre jazbaton sawal uthati hahi lekin shikayat krein to se jinhe khuda banaya hi shaq bahithe,mild
meri bechahie kisi nazr nahi athy,mild
kasam bechahi dia yrrr,mild
kabhi kabbi jab bht pir rha ajeb sa dr lagne lag kahin chot jaye kahin mehromyat ho jaye pr bas ahik khayal jab deine behisab rha toh age humesha de ga bas ab hahi mere pas humesha rhe ahik dua hahy,mild
dil tot hahi mahinn aj apne asal ap mayos hon,mild
buhat dukh sath aug ghuzr rhi ak ajeb se udas dil veido rula dea,mild
dasnamit shres his keakhoyakeapaya story explahining that kayi br apni zindagi mahinn we find ourselves at crosroads to fulfill our dream humko mushkil fahisle lene padte,mild
yawrr mujhe rona raha ye sun,mild
phir bechayny,mild
srry zra bhok lagty,mild
kabhi kabbi jab bht pir rha ajeb sa dr lagne lag kahin chot jaye kahin mehromyat ho jaye pr bas ahik khayal jab deine behisab rha toh age humesha de ga bas ab hahi mere pas humesha rhe ahik dua hahy,mild
meri wazan bhrne waja mujhe bohot mushkilat samne pahr hahy,mild
itni udas kiu lgta srdi khasi h,mild
jab us tawajo kami thodi si khudbakhud a gayi ankhon nami thodi si ashfaq husein,mild
bachon sath khelne mahinn usko dilchaspi kami ab zyada waqt phone mahinn bitata,mild
thakawat dor krwa lo,mild
bezri meri zehan bojh ban gayy,mild
meri zehanat behis is mahinn sahi fahislay nahi pa tha,mild
kahise mayosiat shikr bahithe mere prabhu,mild
susti mahinn rehkr apne potential waste raha hon,mild
adhi rat bhi chaen nahi bechaeni kahi jao yahan ma mahaul kiu dushit nahi pasand sakk mat dekho itna toh simple apne og mahinn raho bahithe spre the regulr torture horror shauryauranokhikikahany,mild
khud maf nahi pa hon mahinne be prwahi mahinn apna rishta kho,mild
zyada khanay adat meri physical fitnes bhi nuksan pahunchaya,mild
bhula nahi hasi mulaqatein bechahi krke mujhko mujhse yon pher nazr,mild
aryy to bhol gae ke meri qismat kharb,mild
mere ankhon mahinn mahromi izhr mahinn kaha nahi sab keh dia,mild
beqrr hokr dil ek ajeb si gham ehsas,mild
apne gham mahinn behis hon muskurana bhol hon,mild
behis lamhe mere dil cho lia,mild
mujhe apki tawajo drkr,mild
jab meri behan death howi tab bas udas rehta mahinn krne dil nahi krta,mild
itna udas hone itna nasha chra dia kahi cigrate sahi bhe sukon nhi milta,mild
hr subah as lekin jaldi utha nahi udas hr kona chhupa hahy,mild
je je bilkol sahi kaha ap tabhi abhi tak mehrom hn,mild
ankho mahinn bezri jab usne apne sapnon tutna dekha,mild
udas bayan nhi sakta,mild
apni bhasha kahu susti a rhy,mild
jis age mahin bechahi badhne lage,mild
ankhon mahinn chhupi mayosi hr muskurahat bhi rukawat banaty,mild
mujhe apni prahahi tawajo deni chahie lekin rotian bana hu,mild
sra din ram kr thakawat gaye,mild
roh udas nahin mahin has has thak hon,mild
uske chale jane bad mahinn akela bahith rone laga,mild
tawajuh nahi pa hon mujhe lagta mujhe thoda waqt chahie,mild
jis say kaha us say sra naumed hahy,mild
going thru toughest days my life khabi khushi khabi gham hr waqt thakawat,mild
jab wo gayi khana khane dil nahi krta,mild
sab bhol tha lekin phit yad agyi bewafahy,mild
is time ahise tts mat kro bhahi jab sachme bholne koshish rahe hum sab,mild
mithahi kha kha susti a gayy,mild
mehrom meri khushian chhin li ab sirf udasyan reh gayy,mild
mera wazan achanak kam raha,mild
bezri lamhe mere chehre chhaye hue,mild
waqt sath andhera haqeqat keh uthta hamri andr bechahi sach samne ata jo asli khushi kami mahinn ghera rehta,mild
hr stres tension hal dhundne jagah zyada khanay adat mahinn refuge milta,mild
zindagi naumidi bhri pady,mild
abhi sala trauma nhi nikal pa abhi sal legenge bholne,mild
ahik ajeb sakon is akelypan mahin ahik bechayni bhe,mild
mujhe ki shakal dekh mayosi hoti chehra ahik dhokebaz hahi manhosat chahi hahi ye chehra ahik loser,mild
yadon mahinn ulajhao jise bholna mere namumkin sa lagta,mild
traveling mere pehle jitna exciting nahi lag lagta ke dilchaspi kamy,mild
mehromi asmani gehrahion mahinn kho hon,mild
sust hokr apne health lie initiative nahi leta,mild
mehromiat mere dil kat chhoda,mild
bro mujhay bachpan say iski smell say uljhan hoty,mild
judahi meri ankhon rone majbor kia,mild
meri zehanat behis is mahinn sahi fahislay nahi pa tha,mild
dukh bhri raton bholna naye din shuruat lie zrori amal,mild
hr dawat mahinn zyada khanay adat mera weight badha dia,mild
bohot udas apni zindagi nakamian dekh,mild
jo bhi raha humahinn bataya dikhaya hahi lekin israel jo hota hahi humahinn bhi livestream media social media dikhaya chahie kionkey sirf palestini awam yeh hal dekh dil naumed honey lag hahi lekin jab,mild
mera wazan achanak kam raha,mild
allah ke siwa jab jab logon umed lagahi tab tab naumed huwa,mild
rona gotta go,mild
br bohat ziada naumed hogaye,mild
sust hokr apne health lie initiative nahi leta,mild
mohabbat talash mahinn hr kadam thokr kha hon zindagi mayos hokr,mild
khud sawal krta hon lekin jawab lagta jahise zindagi mayos gaya,mild
hr rishta bikhr hahi jahise zindagi mayos hokr usne hume thukra dia,mild
mahromi meri roh cho lia ab bhi mehsos nahy,mild
