experiment,model,model_type,language,accuracy,f1_score,precision,recall,tp,fp,tn,fn,agreement_rate,total_samples,total_classified,unclear_responses,error_responses,n_samples_loaded,timestamp,file,sample_size
1,claude,online,arabic,0.7992,0.7603,0.9431,0.6368,1592.0,96.0,2404.0,908.0,,5000.0,5000.0,0.0,0.0,5000,20260403_113449,claude_arabic_20260403_113449.json,5000.0
1,claude,online,chinese,0.6096,0.3772,0.9322,0.2364,591.0,43.0,2457.0,1909.0,,5000.0,5000.0,0.0,0.0,5000,20260403_115756,claude_chinese_20260403_115756.json,5000.0
1,claude,online,urdu,0.7056,0.5879,0.9795,0.42,1050.0,22.0,2478.0,1450.0,,5000.0,5000.0,0.0,0.0,5000,20260403_040636,claude_urdu_20260403_040636.json,5000.0
1,deepseek,local,arabic,0.7907,0.7736,0.8428,0.7149,1785.0,333.0,2164.0,712.0,,5000.0,4994.0,2.0,4.0,5000,20260405_150408,deepseek-local_arabic_20260405_150408.json,5000.0
1,deepseek,local,chinese,0.6476,0.5158,0.8261,0.375,936.0,197.0,2293.0,1560.0,,5000.0,4986.0,7.0,7.0,5000,20260404_150007,deepseek-local_chinese_20260404_150007.json,5000.0
1,deepseek,local,urdu,0.7188,0.677,0.7966,0.5885,1469.0,375.0,2114.0,1027.0,,5000.0,4985.0,14.0,1.0,5000,20260331_104922,deepseek-local_urdu_20260331_104922.json,5000.0
1,gemini,online,arabic,0.8665,0.86,0.9046,0.8196,2049.0,216.0,2282.0,451.0,,5000.0,4998.0,2.0,0.0,5000,20260330_022308,gemini_arabic_20260330_022308.json,5000.0
1,gemini,online,chinese,0.7112,0.6606,0.801,0.562,1405.0,349.0,2151.0,1095.0,,5000.0,5000.0,0.0,0.0,5000,20260330_022151,gemini_chinese_20260330_022151.json,5000.0
1,gemini,online,urdu,0.8984,0.9016,0.8744,0.9304,2326.0,334.0,2166.0,174.0,,5000.0,5000.0,0.0,0.0,5000,20260330_022830,gemini_urdu_20260330_022830.json,5000.0
1,gemma,local,arabic,0.8344,0.8302,0.8519,0.8095,2019.0,351.0,2143.0,475.0,,5000.0,4988.0,0.0,12.0,5000,20260331_094542,gemma_arabic_20260331_094542.json,5000.0
1,gemma,local,chinese,0.6308,0.4436,0.8998,0.2944,736.0,82.0,2418.0,1764.0,,5000.0,5000.0,0.0,0.0,5000,20260405_042409,gemma_chinese_20260405_042409.json,5000.0
1,gemma,local,urdu,0.8726,0.8722,0.8752,0.8692,2173.0,310.0,2190.0,327.0,,5000.0,5000.0,0.0,0.0,5000,20260402_062946,gemma_urdu_20260402_062946.json,5000.0
1,llama,local,arabic,0.8234,0.8255,0.8159,0.8352,2088.0,471.0,2029.0,412.0,,5000.0,5000.0,0.0,0.0,5000,20260329_145709,llama_arabic_20260329_145709.json,5000.0
1,llama,local,chinese,0.6826,0.6039,0.8029,0.484,1210.0,297.0,2203.0,1290.0,,5000.0,5000.0,0.0,0.0,5000,20260330_033531,llama_chinese_20260330_033531.json,5000.0
1,llama,local,urdu,0.8536,0.863,0.811,0.922,2305.0,537.0,1963.0,195.0,,5000.0,5000.0,0.0,0.0,5000,20260329_033920,llama_urdu_20260329_033920.json,5000.0
1,openai,online,arabic,0.8018,0.7594,0.966,0.6256,1564.0,55.0,2445.0,936.0,,5000.0,5000.0,0.0,0.0,5000,20260330_023225,openai_arabic_20260330_023225.json,5000.0
1,openai,online,chinese,0.6398,0.4739,0.8787,0.3244,811.0,112.0,2388.0,1689.0,,5000.0,5000.0,0.0,0.0,5000,20260330_023206,openai_chinese_20260330_023206.json,5000.0
1,openai,online,urdu,0.8944,0.8864,0.9595,0.8236,2059.0,87.0,2413.0,441.0,,5000.0,5000.0,0.0,0.0,5000,20260330_023252,openai_urdu_20260330_023252.json,5000.0
2,claude,online,arabic,0.7992,0.7603,0.9431,0.6368,1592.0,96.0,2404.0,908.0,,5000.0,5000.0,0.0,0.0,5000,20260403_195435,claude_arabic_20260403_195435.json,5000.0
2,claude,online,chinese,0.6096,0.3772,0.9322,0.2364,591.0,43.0,2457.0,1909.0,,5000.0,5000.0,0.0,0.0,5000,20260403_194919,claude_chinese_20260403_194919.json,5000.0
2,claude,online,urdu,0.7056,0.5879,0.9795,0.42,1050.0,22.0,2478.0,1450.0,,5000.0,5000.0,0.0,0.0,5000,20260403_194527,claude_urdu_20260403_194527.json,5000.0
2,deepseek,local,arabic,0.7907,0.7736,0.8428,0.7149,1785.0,333.0,2164.0,712.0,,5000.0,4994.0,2.0,4.0,5000,20260407_032252,deepseek-local_arabic_20260407_032252.json,5000.0
2,deepseek,local,urdu,0.7188,0.677,0.7966,0.5885,1469.0,375.0,2114.0,1027.0,,5000.0,4985.0,14.0,1.0,5000,20260407_145351,deepseek-local_urdu_20260407_145351.json,5000.0
2,gemini,online,arabic,0.8665,0.86,0.9046,0.8196,2049.0,216.0,2282.0,451.0,,5000.0,4998.0,2.0,0.0,5000,20260331_012321,gemini_arabic_20260331_012321.json,5000.0
2,gemini,online,chinese,0.7112,0.6606,0.801,0.562,1405.0,349.0,2151.0,1095.0,,5000.0,5000.0,0.0,0.0,5000,20260331_012105,gemini_chinese_20260331_012105.json,5000.0
2,gemini,online,urdu,0.8984,0.9016,0.8744,0.9304,2326.0,334.0,2166.0,174.0,,5000.0,5000.0,0.0,0.0,5000,20260331_012223,gemini_urdu_20260331_012223.json,5000.0
2,gemma,local,arabic,0.8344,0.8302,0.8519,0.8095,2019.0,351.0,2143.0,475.0,,5000.0,4988.0,0.0,12.0,5000,20260401_151109,gemma_arabic_20260401_151109.json,5000.0
2,gemma,local,chinese,0.6308,0.4436,0.8998,0.2944,736.0,82.0,2418.0,1764.0,,5000.0,5000.0,0.0,0.0,5000,20260405_172235,gemma_chinese_20260405_172235.json,5000.0
2,gemma,local,urdu,0.8726,0.8722,0.8752,0.8692,2173.0,310.0,2190.0,327.0,,5000.0,5000.0,0.0,0.0,5000,20260403_215902,gemma_urdu_20260403_215902.json,5000.0
2,llama,local,arabic,0.8234,0.8255,0.8159,0.8352,2088.0,471.0,2029.0,412.0,,5000.0,5000.0,0.0,0.0,5000,20260329_204919,llama_arabic_20260329_204919.json,5000.0
2,llama,local,chinese,0.6826,0.6039,0.8029,0.484,1210.0,297.0,2203.0,1290.0,,5000.0,5000.0,0.0,0.0,5000,20260330_065316,llama_chinese_20260330_065316.json,5000.0
2,llama,local,urdu,0.8536,0.863,0.811,0.922,2305.0,537.0,1963.0,195.0,,5000.0,5000.0,0.0,0.0,5000,20260329_170926,llama_urdu_20260329_170926.json,5000.0
2,openai,online,arabic,0.8018,0.7594,0.966,0.6256,1564.0,55.0,2445.0,936.0,,5000.0,5000.0,0.0,0.0,5000,20260331_102816,openai_arabic_20260331_102816.json,5000.0
2,openai,online,chinese,0.6398,0.4739,0.8787,0.3244,811.0,112.0,2388.0,1689.0,,5000.0,5000.0,0.0,0.0,5000,20260331_105643,openai_chinese_20260331_105643.json,5000.0
2,openai,online,urdu,0.8944,0.8864,0.9595,0.8236,2059.0,87.0,2413.0,441.0,,5000.0,5000.0,0.0,0.0,5000,20260331_104726,openai_urdu_20260331_104726.json,5000.0
