model,language,total,agree,disagree,no_translation,other,agreement_rate,flip_count,flip_rate
deepseek,arabic,5000,4215,167,0,618,0.9619,167,0.0334
deepseek,chinese,5000,3888,159,0,953,0.9607,159,0.0318
deepseek,urdu,5000,12,0,4972,16,1.0,0,0.0
gemini,arabic,5000,4688,308,0,4,0.9384,308,0.0616
gemini,chinese,5000,4657,339,0,4,0.9321,339,0.0678
gemini,urdu,5000,4186,807,2,5,0.8384,807,0.1614
gemma,arabic,5000,4581,375,0,44,0.9243,375,0.075
gemma,chinese,5000,4370,625,0,5,0.8749,625,0.125
gemma,urdu,5000,8,5,4987,0,0.6154,5,0.001
llama,arabic,5000,3648,1020,0,332,0.7815,1020,0.204
llama,chinese,5000,2400,2179,0,421,0.5241,2179,0.4358
llama,urdu,5000,3003,1710,1,286,0.6372,1710,0.342
openai,arabic,5000,4106,865,0,29,0.826,865,0.173
openai,chinese,5000,4107,890,0,3,0.8219,890,0.178
openai,urdu,5000,3983,1013,2,2,0.7972,1013,0.2026
