file,model,language,status,timestamp,sample_size,total_samples,total_classified,coverage_rate,unclear_responses,error_responses,error_rate,precision,recall,f1_score,accuracy,true_positives,false_positives,true_negatives,false_negatives
deepseek-local_arabic_20260330_043919.json,deepseek-local,arabic,complete,20260330_043919,500,500,500,1.0,0.0,0,0.0,0.8295,0.695,0.7563,0.7675,180,37,204,79
deepseek_deepseek-r1-0528-qwen3-8b_chinese.partial.json,deepseek/deepseek-r1-0528-qwen3-8b,chinese,partial,2026-03-30T08:59:38.145775,5000,5000,480,0.096,,4520,0.904,0.796875,0.42677824267782427,0.555858310626703,0.6604166666666667,102,26,215,137
deepseek_deepseek-r1-0528-qwen3-8b_urdu.partial.json,deepseek/deepseek-r1-0528-qwen3-8b,urdu,partial,2026-03-30T12:40:17.299782,5000,5000,3423,0.6846,,1577,0.3154,0.8012279355333844,0.6091015169194866,0.6920782234007291,0.7286006427110722,1044,259,1450,670
gemini_arabic_20260330_022308.json,gemini,arabic,complete,20260330_022308,5000,5000,4998,0.9996,2.0,0,0.0,0.9046,0.8196,0.86,0.8665,2049,216,2282,451
gemini_chinese_20260330_022151.json,gemini,chinese,complete,20260330_022151,5000,5000,5000,1.0,0.0,0,0.0,0.801,0.562,0.6606,0.7112,1405,349,2151,1095
gemini_urdu_20260330_022830.json,gemini,urdu,complete,20260330_022830,5000,5000,5000,1.0,0.0,0,0.0,0.8744,0.9304,0.9016,0.8984,2326,334,2166,174
llama_arabic_20260329_145709.json,meta-llama-3.1-8b-instruct,arabic,complete,20260329_145709,5000,5000,5000,1.0,0.0,0,0.0,0.8159,0.8352,0.8255,0.8234,2088,471,2029,412
llama_chinese_20260330_033531.json,meta-llama-3.1-8b-instruct,chinese,complete,20260330_033531,5000,5000,5000,1.0,0.0,0,0.0,0.8029,0.484,0.6039,0.6826,1210,297,2203,1290
llama_urdu_20260329_033920.json,meta-llama-3.1-8b-instruct,urdu,complete,20260329_033920,5000,5000,5000,1.0,0.0,0,0.0,0.811,0.922,0.863,0.8536,2305,537,1963,195
openai_arabic_20260330_023225.json,openai,arabic,complete,20260330_023225,5000,5000,5000,1.0,0.0,0,0.0,0.966,0.6256,0.7594,0.8018,1564,55,2445,936
openai_chinese_20260330_023206.json,openai,chinese,complete,20260330_023206,5000,5000,5000,1.0,0.0,0,0.0,0.8787,0.3244,0.4739,0.6398,811,112,2388,1689
openai_urdu_20260330_023252.json,openai,urdu,complete,20260330_023252,5000,5000,5000,1.0,0.0,0,0.0,0.9595,0.8236,0.8864,0.8944,2059,87,2413,441
