index,conversation,translation,actual_value,claude_prediction,claude_keywords,claude_keywords_en,claude_keyword_evaluation,claude_exp4_classification,claude_exp4_justification,openai_prediction,openai_keywords,openai_keywords_en,openai_keyword_evaluation,openai_exp4_classification,openai_exp4_justification,gemini_prediction,gemini_keywords,gemini_keywords_en,gemini_keyword_evaluation,gemini_exp4_classification,gemini_exp4_justification,gemma_prediction,gemma_keywords,gemma_keywords_en,gemma_keyword_evaluation,gemma_exp4_classification,gemma_exp4_justification,llama_prediction,llama_keywords,llama_keywords_en,llama_keyword_evaluation,llama_exp4_classification,llama_exp4_justification,deepseek_prediction,deepseek_keywords,deepseek_keywords_en,deepseek_keyword_evaluation,deepseek_exp4_classification,deepseek_exp4_justification,human_eval_response,human_eval_keywords
841,naye project mahinn kam krne pehle mere team mahinn dilchaspi kamy,"""Before starting work on the new project, my team lost interest.""",depressed,not depressed,"naye project, kam krne, dilchaspi","new project, working, interest",,,,not depressed,"dilchaspi, kamy","interest, success",,,,not depressed,"naye, project, kam","new, project, work",,depressed,"Expresses a lack of interest (""dilchaspi kamy"") in working on a new project within the team. This suggests a loss of pleasure in activities, a potential indicator of depression.",not depressed,"project, dilchaspi, kamy","project, interest, work",,,,not depressed,"kam krne, team","motivation, colleagues",,,,not depressed,"mahinn, dilchaspi","before, motivation",,,,,
912,jahilo pata nahi sab faltu discus krke ag mei ghe dalne kam rhe hei khaskr faminist activist esa lagta ye janbojh anti muslim agenda hawa rhe hei hijabi activist faminist bhrosa nahi kia sakta,"Ignorance, they don't know they're engaging in pointless discussions and heading towards a fiery end. Especially the feminist activists, it seems they're driven by an anti-Muslim agenda. I can't trust the hijab-wearing feminist activists.",depressed,not depressed,"jahilo, faltu, siasat","ignorant, nonsense, politics",,,,not depressed,"faltu, discus, khaskr, agenda","useless, discuss, especially, agenda",,,,not depressed,"jahilo, faltu, agenda","ignorant, useless, agenda",,,,not depressed,"faminist, activist, agenda, hawa","feminist, activist, agenda, atmosphere",,,,not depressed,"siasat, bilawal","politics, politician",,,,not depressed,"khaskr, faminist, activist, hawa, bhrosa","criticize, feminist, activist, talk/movement, doubt",,,,,
1128,jo bhi raha humahinn bataya dikhaya hahi lekin israel jo hota hahi humahinn bhi livestream media social media dikhaya chahie kionkey sirf palestini awam yeh hal dekh dil naumed honey lag hahi lekin jab,"What remains to be told and shown to us, Israel, it should also be shown to us live on social media because only the Palestinian people seem to be suffering and it breaks our hearts.",depressed,not depressed,"israel, livestream, media, siasat","israel, livestream, media, politics",,,,not depressed,"israel, media, social, awam","Israel, media, social, people",,,,not depressed,"media, social, media","media, social, media",,,,not depressed,"israel, livestream, social media","Israel, live stream, social media",,,,not depressed,"jo bhi raha, humahinn","some things, we show",,,,not depressed,"palestini, israel, humahinn","Palestine, Israel, someone",,,,,
1156,hr dawat mahinn zyada khanay adat mera weight badha dia,"I developed a habit of overeating during the invitation month, which caused my weight to increase.",depressed,not depressed,"dawat, khanay, weight","feast, eating, weight",,,,not depressed,"khana, adat, weight","food, habit, weight",,,,not depressed,"dawat, adat","feast, habit",,,,not depressed,"dawat, khanay, adat","feast, eating, habit",,,,not depressed,"dawat, khanay","invitation, eating",,,,not depressed,"hr dawat, mahinn zyada, khanay adat","frequent, a lot of, eating habit",,,,,
1222,bechahie b apna maza h,"""Selling yourself is quite a thrill.""",depressed,not depressed,maza,enjoyment,,,,not depressed,maza,fun,,,,not depressed,"bechahie, maza","selling, fun",,,,not depressed,"bechahie, maza","happy, enjoyment",,,,not depressed,"sath, bilawal","together, politician",,,,not depressed,"Line 1: bechahie, b, apna, maza","Line 2: aloof, matter, my, fun",,,,,
1473,apke isue samajh rahe id unlock nahi kia sakta keon apko pichli br kam kie huye mahine adhik gaye halanki kripaya rejoining link httpsrklinbfkecw click krke phir judne cont httpsrklinlbfkeco,"I understand your issue, but I cannot unlock it as you have exceeded the last month's limit. Please click the rejoining link https://rklin.bf/kecoW and then continue with https://rklin.bf/kecoO.",depressed,not depressed,"samajh, unlock, rejoining, click","understand, unlock, rejoining, click",,,,not depressed,"id, unlock, samajh, rejoining","id, unlock, understand, rejoining",,,,not depressed,"isue, samajh, link","issue, understand, link",,,,not depressed,"isue, unlock, pichli, adhik, rejoining","issue, unlock, previous, more, rejoin",,,,not depressed,"apke isue, unlock nahi kia sakta","understand issue, cannot unlock",,,,not depressed,"apke, isue",your issue,,,,,
1579,sir result bre mahinn update kre plzstudents bechahie shikr,"Sir, please update the results for the month. Students are eagerly awaiting.",depressed,not depressed,shikr,gratitude,,,,not depressed,"shikr, students","complaint, students",,,,not depressed,"sir, result, students","sir, result, students",,,,not depressed,"result, bre, mahinn, update, students, bechahie, shikr","result, month, update, students, needy, request",,,,not depressed,"sir, result, bre, students, bechahie, shikr","principal, results, please, students, thanks",,,,not depressed,"siasat, plzstudents, shikr","politics, students, poetry",,,,,
1582,tension rahy,Stay tense.,depressed,not depressed,tension,stress,,,,not depressed,tension,tension,,,,not depressed,tension,tension,,,,not depressed,"tension, rahy","stress, staying",,,,not depressed,"susti, neend","lethargy, sleep",,,,not depressed,tension,stress,,,,,
1592,dil rota pr ansu nahi ate log samajhte hum dukhi nahi hote humahinn totne adat si gayi ab khushi lafzo mahinn bayan nahi hoti quen mannra ftw,"My heart breaks but tears don't fall, people think I'm not sad. I've become accustomed to my heart breaking, now happiness is not expressed in words. When the mind is FTW.",not depressed,depressed,"dil rota, ansu nahi ate, dukhi, khushi lafzo mahinn bayan nahi hoti","heart weeping, tears not coming, sorrowful, happiness words cannot express",,,,depressed,"dil, dukhi, totne, khushi","heart, sad, breaking, happiness",,,,depressed,"rota, dukhi, totne","cries, sad, breaking",,,,depressed,"rota, totne, khushi, mannra","crying, breaking, happiness, expressionless",,,,depressed,"dil rota, ansu nahi ate","heartache, tears don't come",,,,depressed,"dil rota, quen","heart broken, hopelessness",,,,,
1627,fir bhok lgne wali elvishyadav maggie bhej do wc chakkr khana khaya,"First, feed the hungry Elfish Yadav Maggie; send him to the bathroom, then serve him food.",depressed,not depressed,"bhok, khana khaya","hunger, ate",,,,not depressed,"bhok, elvishyadav, maggie","hunger, name, food",,,,not depressed,"elvishyadav, maggie, wc","influencer, noodles, toilet",,,,not depressed,"bhok, elvishyadav, maggie","hunger, friend's name, noodles",,,,not depressed,"bhok, elvishyadav","hunger, celebrity",,,,not depressed,"fir, bhok","fire, hunger",,,,,
1655,this shows our mehromyat tbhbr itni low set krdi ab copied chale,"""This demonstrates our concern, honestly. We've lowered our standards so much that we're now copying others.""",depressed,not depressed,"mehromyat, copied","kindness, copied",,,,not depressed,"mehromyat, low, copied","affection, low, copied",,,,not depressed,"mehromyat, tbhbr","deprivation, news",,,,not depressed,"mehromyat, copied","intimacy, copied",,,,not depressed,"mehromyat, tbhbr","merit, politics",,,,not depressed,"mehromyat, tbhbr, low set","betrayal, curse, standards",,,,,
2725,life vahise kei taklefe ye choti choti khushian bchi jo life jine madad krti pr sayad uperwala chahta nhi hm khush rhe,"Life is full of struggles, but it's the little joys that keep us going and help us live, perhaps God doesn't want us to be happy.",not depressed,depressed,"taklefe, sayad","hardships, perhaps",,,,depressed,"taklefe, khushian, chahta, khush","troubles, happiness, wants, happy",,,,depressed,"taklefe, khushian","troubles, happiness",,,,depressed,"taklefe, khushian","troubles, joys",,,,depressed,"taklefe, khushian","distress, happiness",,,,depressed,"vahise, taklefe, sayad, uperwala, chahta, nhi, hm, khush","refusal, terms, advice, upperclass, does not want, us, happy",,,,,
