index,conversation,translation,actual_value,claude_prediction,claude_keywords,claude_keywords_en,claude_keyword_evaluation,claude_exp4_classification,claude_exp4_justification,openai_prediction,openai_keywords,openai_keywords_en,openai_keyword_evaluation,openai_exp4_classification,openai_exp4_justification,gemini_prediction,gemini_keywords,gemini_keywords_en,gemini_keyword_evaluation,gemini_exp4_classification,gemini_exp4_justification,gemma_prediction,gemma_keywords,gemma_keywords_en,gemma_keyword_evaluation,gemma_exp4_classification,gemma_exp4_justification,llama_prediction,llama_keywords,llama_keywords_en,llama_keyword_evaluation,llama_exp4_classification,llama_exp4_justification,deepseek_prediction,deepseek_keywords,deepseek_keywords_en,deepseek_keyword_evaluation,deepseek_exp4_classification,deepseek_exp4_justification,human_eval_response,human_eval_keywords
2,虽然退圈了，但是看见撕逼还是想说一句，惨还是cpf最惨。,"Even though I've left the fandom, seeing the drama still makes me want to say, the shippers are the ones who suffer the most.",depressed,not depressed,"看见, 想说","saw, wanted to say",,,,not depressed,"退圈, 想说, 最惨","retreat, want to say, worst",,,,not depressed,"撕逼, 退圈","drama, retired",,not depressed,"The post discusses drama (""撕逼"") and the plight of ""cpf"" (couple fans) after someone left a circle (""退圈了""). It's commentary on a specific situation, not a personal expression of depression.",not depressed,"撕逼, cpf","bickering, fan",,,,not depressed,退圈了，撕逼,"retired, drama",,,,not depressed,"撕逼, cpf","fighting/arguments, worst",,,,,
15,你负责动手，我负责动口。,"You handle the action, I handle the talk.",depressed,not depressed,"动手, 动口","action, speech",,,,not depressed,"动手, 动口","action, speech",,,,not depressed,"负责, 动手, 动口","responsible, hands-on, verbal",,,,not depressed,"动手, 动口","do, speak",,,,not depressed,你负责动手，我负责动口。,"hand, mouth",,,,not depressed,"动手, 动口",doing hands/talking things,,,,,
37,下午喝两顿咖啡☕ 现在倍儿精神朋友调侃我竟然花钱去外面撸猫家里的主子该不高兴了,Had two cups of coffee in the afternoon ☕ Now I'm super alert. My friend joked that I actually spent money to go out and pet cats—my own cat at home is probably going to be unhappy.,depressed,not depressed,"喝咖啡, 精神, 撸猫","coffee, energetic, cat-petting",,,,not depressed,"咖啡, 精神, 朋友, 调侃, 花钱, 猫","coffee, energetic, friend, tease, spend, cat",,,,not depressed,"咖啡, 撸猫","coffee, petting",,,,not depressed,"下午, 咖啡, 精神, 朋友, 调侃, 猫","afternoon, coffee, energetic, friend, tease, cat",,,,not depressed,"下午喝两顿咖啡, 花钱去外面撸猫","coffee, spend-money-on-cat",,,,not depressed,倍儿精神，撸猫,energetic，petting cats,,,,,
46,时间会告诉我们，简单的喜欢，最长远；平凡中的陪伴，最心安；懂你的人，最温暖。,Time will tell us that simple affection lasts the longest; companionship in ordinary life brings the most peace; and those who understand you are the warmest.,depressed,not depressed,"时间, 喜欢, 陪伴, 心安, 温暖","time, affection, companionship, peace, warmth",,,,not depressed,"简单的喜欢, 平凡中的陪伴, 懂你的人","simple love, companionship, understanding",,,,not depressed,"喜欢, 陪伴, 温暖","like, accompany, warm",,,,not depressed,"简单, 平凡, 温暖","simple, ordinary, warm",,,,not depressed,时间会告诉我们，简单的喜欢,simple love,,,,not depressed,心安，温暖,"peace, warmth",,,,,
51,见人说人话见鬼说鬼话 校门外的社交圈不过是利益交换各取所需 热情又保持距离 放低姿态又不卑不亢 展示谦逊又不露声色彰显牛逼。。。。。。OMG 说话是门大艺术 我还要修炼多久才能不这么后知后觉 高 实在是高,"Speak human language to humans and ghost language to ghosts; the social circle outside the school gate is just an exchange of interests where each takes what they need. Be enthusiastic yet keep a distance, lower your posture without being subservient, show humility without revealing your awesomeness... OMG, speaking is a great art—how much longer must I cultivate to not be so slow on the uptake? Masterful, truly masterful.",depressed,not depressed,"艺术, 修炼, 高","art, cultivation, admiration",,,,not depressed,"热情, 保持距离, 谦逊, 牛逼","enthusiasm, distance, humility, impressive",,,,not depressed,"说话, 艺术","speaking, art",,,,not depressed,"热情, 距离, 谦逊, 牛逼, 艺术, 高","passion, distance, humility, awesome, art, high",,,,not depressed,"见人说人话, 热情, 展示谦逊","say human words, enthusiasm, modesty",,,,not depressed,日常， 爱,"daily, love",,,,,
71,雪山崩塌的时候，没有一片雪花是无辜的；生命消逝的时候，每个人都是凶手。,"When the snow mountain collapses, no snowflake is innocent; when life fades away, everyone is a murderer.",depressed,not depressed,"雪山, 生命, 哲学","snowscape, life, philosophical",,,,not depressed,"无辜, 凶手","innocent, murderer",,,,not depressed,"雪山, 生命","snow mountain, life",,,,not depressed,"雪山, 生命","snow mountain, life",,,,not depressed,雪山崩塌的时候，没有一片雪花是无辜的；生命消逝的时候，每个人都是凶手。,"philosophical phrase, inspirational phrase",,,,not depressed,生命消逝，每个人都是凶手。,"life gone, everyone is murderer",,,,,
86,谁须要日后被谁记住 谁贪你想起我的好处,"Who needs to be remembered by whom in the future, who covets you remembering my good points",depressed,not depressed,"记住, 好处","remember, benefits",,,,not depressed,"日后, 想起, 好处","future, remember, benefit",,,,not depressed,"记住, 好处","remember, benefit",,,,not depressed,"谁须要日后被谁记住, 谁贪你想起我的好处","who needs to be remembered by whom, who envies you remembering my good deeds",,,,not depressed,"谁须要日后被谁记住, 谁贪","who wants to be remembered, greed",,,,not depressed,日后，好处,"future, benefits",,,,,
89,老板的一场商业自吹开始了,The boss's business self-promotion session has begun,depressed,not depressed,"商业, 开始","business, beginning",,,,not depressed,商业自吹,self-promotion,,,,not depressed,"自吹, 商业","bragging, business",,,,not depressed,"老板, 自吹","boss, boasting",,,,not depressed,老板的一场商业自吹开始了,self-promotion,,,,not depressed,商业自吹,commercial self-praise,,,,,
314,一个人，没有同类。,"A person, without a peer.",not depressed,depressed,"一个人, 没有同类","alone, no-peers",,,,depressed,"没有同类, 孤独","no kindred, loneliness",,,,depressed,"没有, 同类","none, peers",,,,depressed,"一个人, 没有","alone, no",,,,depressed,一人没有同类。,lonely,,,,depressed,No match found,,,,,,
319,相比微信 更多东西我愿意放在微博里。恍惚间军训过去好几天了，今天上午休息的时候一中的同学们都在踢足球，可是我看着他们穿着红色的校服踢足球我突然想到初中了，想到我们初中的班足球赛的场面，眼泪一下就掉下来，也没人注意到我，我就悄悄地抹眼泪，后来看到了初中的同学，一下情绪就收不住了，哇哇地嚎，甚至我现在打字都在掉眼泪。红色的校服身上我看不到一点儿蓝色的影子，我真的太想太想初中了。我真的太难受了。我永远忘不了初中的球赛，忘不了那帮同学，忘不了我们在一起的三年，忘不了好朋友们在一起谈天说地的时刻，忘不了中考后班主任在我面前掉眼泪的画面。张老师，还有我亲爱的同学们，我真的好想好想你们啊。一中的老师同学都很好，可是我找不到初中的感觉了，我甚至觉得孤独，还有一种说不出来的无助，好像你们终将要离我而去。我好想十七班。,"Compared to WeChat, I prefer to share more things on Weibo. It feels like military training ended days ago. During the break this morning, students from No. 1 High School were playing soccer, but when I saw them wearing red uniforms, I suddenly thought of middle school—the scene of our class soccer match in junior high. Tears immediately fell, and no one noticed me, so I quietly wiped them away. Later, I saw a classmate from junior high and couldn't hold back my emotions anymore, crying loudly. Even now, as I type, tears are falling. In the red uniforms, I can't see a trace of blue. I miss junior high so, so much. I'm really heartbroken. I'll never forget the soccer matches in junior high, those classmates, the three years we spent together, the moments chatting and laughing with good friends, and the sight of our homeroom teacher crying in front of me after the high school entrance exam. Teacher Zhang, and my dear classmates, I miss you all so, so much. The teachers and students at No. 1 High School are great, but I can't find the feeling of junior high anymore. I even feel lonely and an indescribable helplessness, as if you are all eventually going to leave me. I miss Class 17 so much.",not depressed,depressed,"眼泪, 哇哇地嚎, 掉眼泪, 太难受, 孤独, 无助","tears, wailing, crying, distressed, lonely, ",,,,depressed,"太难受, 无助, 孤独, 眼泪","suffering, helplessness, loneliness, tears",,,,depressed,"眼泪, 难受, 孤独, 无助","tears, sad, lonely, helpless",,,,depressed,"恍惚, 泪水, 收不住, 嚎, 难受, 无助, 孤独","blurry, tears, uncontrollable, cry, sad, helpless, lonely",,,,depressed,相比微信 更多东西我愿意放在微博里、恍惚间军训过去好几天了、红色的校服身上我看不到一点儿蓝色的影子、眼泪一下就掉下来、哇哇地嚎、一下情绪就收不住了、我真的太想太想初中了、我真的太难受了、忘不了初中的球赛、忘不了那帮同学、忘不了我们在一起的三年、忘不了好朋友们在一起谈天说地的时刻、忘不了中考后班主任在我面前掉眼泪的画面、张老师，还有我亲爱的同学们、我真的好想好想你们啊、一中的老师同学都很好、找不到初中的感觉了、觉得孤独、好像你们终将要离我而去,"nostalgia, past, missing, crying, sobbing, helpless, longing, suffering, unforgettable, classmates, years together, friends talking, tears of teacher, missing you, good teachers, lonely, leaving me",,,,depressed,眼泪，难受，孤独，无助,"tears, uncomfortable, lonely, helpless",,,,,
